ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,fonte,confianca
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Ezequiel Cardoso, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Projetada, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Agepino, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Almeida Fraga, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Santa Bárbara, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Colonial, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Odálio Golveia, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Bela Vista, Guajará, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Aramuru, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Caete, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Caxico, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Karapato, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Pataco, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Av. Tomoio, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Tapuia, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Tupinamba, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Xoco Guara, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Xingú, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Espirito Santo, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Av. Florionopolis, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Mato Grosso, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Travessa Mato Grosso, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Rua Santa Catarina, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Av. Curitiba, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Travessa Curitiba, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,1,"Av. Eng. Galvão, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Parana, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Porto Alegre, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Rio de Janeiro, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Sao Paulo, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Av. Engenheiro Luciano Santana Gaalvão, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua 05, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Travessa 19, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Travessa 17, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Espirito Santo, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Goias, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua Mato Grosso, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Travessa 16, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Travessa Maria Freire, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Travessa 20, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua A (Jardim Esperança), Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,2,"Rua B (Jardim Esperança), Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua 09, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua 03, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua 02, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua 01, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua Distrito Federal, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua Minas Gerais, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua Goias, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Av. Curitiba, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Av. Florionopolis, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua Mato Grosso, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,3,"Rua Mato Grosso do Sul, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua Tapuia, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua Kariri-Xoco, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua Novo Acesso, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Av. Tupiniquins, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Av. Tamoio, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua Potiguara, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua 07, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua 08, Sao Braz, Nossa Senhora do Socorro - SE",,,,
Valter Rocha,"Tv. 3 A Jd Mariana, 500 - Lot. Jardim Mariana, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/RhAmaYNywDHYjnQU9,4,"Rua 09, Sao Braz, Nossa Senhora do Socorro - SE",,,,
