ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo
Maria Lenice Santos do Nascimento,nao achei,nao achei,4,"Rua Principal A, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua do Campo, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua do Centro, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua da Caixa D'Água, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua do Curral, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua Principal B, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua A C, Nossa Senhora do Socorro - SE"
Maria Lenice Santos do Nascimento,,,4,"Rua da Pedreira, Nossa Senhora do Socorro - SE"
