ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,metodo,nota
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua do Tanque, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua da Fazenda, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa C, Guajará, Nossa Senhora do Socorro - SE",-10.8931293,-37.143835,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa D, Guajará, Nossa Senhora do Socorro - SE",-10.8937214,-37.1442941,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa E, Guajará, Nossa Senhora do Socorro - SE",-10.8970991,-37.1265527,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua A, Guajará, Nossa Senhora do Socorro - SE",-10.8987937,-37.1607304,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua B, Guajará, Nossa Senhora do Socorro - SE",-10.8999085,-37.1436603,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua C (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8876823,-37.1589899,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua D (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8901066,-37.1601854,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua E (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8993287,-37.1586914,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida 2 de Maio, Guajará, Nossa Senhora do Socorro - SE",-10.8966897,-37.1546198,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua Dois de Maio, Guajará, Nossa Senhora do Socorro - SE",-10.8928968,-37.1612885,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 4 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.893631,-37.1519493,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 5 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8937602,-37.1526614,google_api,encontrado_GEOMETRIC_CENTER
