ubs_referencia,localizacao_ubs,link_map_ubs,Micro Area,Endereco_Completo
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Estrada Lazareto, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Rua dos Viveiros, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Tv. Emerson Menezes, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Tv. Felix de Andrade, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",5,"Rua Principal, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",5,"Via Férrea, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",5,"Rua das Mangueiras, Calumbi, Nossa Senhora do Socorro - SE"
Valdemar Pinto ,"Estr. Calumbi, 404-436 - Calumbi, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/Unidade+B%C3%A1sica+de+Saude+Valdemar+Pinto/@-10.8777329,-37.1193641,17z/data=!4m14!1m7!3m6!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!2sUnidade+B%C3%A1sica+de+Saude+Valdemar+Pinto!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40!3m5!1s0x71ab2addf2e8523:0xd24faef84a47f8d9!8m2!3d-10.8777382!4d-37.1167892!16s%2Fg%2F11fx894s40?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",5,"Sitio Porto, Calumbi, Nossa Senhora do Socorro - SE"
