endereco_original,latitude,longitude,location_type,formatted_address,metodo
"Rua Espirito Santo, Sao Braz, Nossa Senhora do Socorro - SE",-10.850387,-37.050555,GEOMETRIC_CENTER,"R. Espírito Santo - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Santa Catarina, Sao Braz, Nossa Senhora do Socorro - SE",-10.8518979,-37.0535543,GEOMETRIC_CENTER,"R. Santa Catarina - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Av. Eng. Galvão, Sao Braz, Nossa Senhora do Socorro - SE",-10.8505377,-37.0521436,GEOMETRIC_CENTER,"Av. Eng. Luciano Santana Galvão - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Parana, Sao Braz, Nossa Senhora do Socorro - SE",-10.8519297,-37.0514451,GEOMETRIC_CENTER,"R. Paraná - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Porto Alegre, Sao Braz, Nossa Senhora do Socorro - SE",-10.8524389,-37.0517073,GEOMETRIC_CENTER,"R. Porto Alegre - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Rio de Janeiro, Sao Braz, Nossa Senhora do Socorro - SE",-10.851544,-37.0504742,GEOMETRIC_CENTER,"R. Rio de Janeiro - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Av. Engenheiro Luciano Santana Gaalvão, Sao Braz, Nossa Senhora do Socorro - SE",-10.8505377,-37.0521436,GEOMETRIC_CENTER,"Av. Eng. Luciano Santana Galvão - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 05, Sao Braz, Nossa Senhora do Socorro - SE",-10.8937909,-37.122709,ROOFTOP,"R. Cento e Quarenta e Cinco, 5 - Santa Cecília, Nossa Sra. do Socorro - SE, 49158-085, Brasil",google_api
"Travessa 19, Sao Braz, Nossa Senhora do Socorro - SE",-10.855582,-37.0527967,RANGE_INTERPOLATED,"Tv. Sergipe, 19, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Travessa 17, Sao Braz, Nossa Senhora do Socorro - SE",-10.8555666,-37.0528207,ROOFTOP,"Tv. Sergipe, 17 - São Brás, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua Espirito Santo, Sao Braz, Nossa Senhora do Socorro - SE",-10.850387,-37.050555,GEOMETRIC_CENTER,"R. Espírito Santo - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
"Travessa 16, Sao Braz, Nossa Senhora do Socorro - SE",-10.8553764,-37.0528848,ROOFTOP,"Tv. Sergipe, 16 - São Brás, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Travessa Maria Freire, Sao Braz, Nossa Senhora do Socorro - SE",-10.8307986,-37.0706023,GEOMETRIC_CENTER,"Tv. Maria Minita - Taiçoca de Dentro, Nossa Sra. do Socorro - SE, Brasil",google_api
"Travessa 20, Sao Braz, Nossa Senhora do Socorro - SE",-10.85536,-37.0529094,RANGE_INTERPOLATED,"Tv. Sergipe, 20, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua A (Jardim Esperança), Sao Braz, Nossa Senhora do Socorro - SE",-10.844759,-37.0516787,GEOMETRIC_CENTER,"R. A Jardim Esperança - São Brás, Nossa Sra. do Socorro - SE, Brasil",google_api
