ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",4,"Rua 27, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 101, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 102, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 103, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 104, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 105, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 108, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua 112, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",5,"Rua A29, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",6,"Av. Coletora C, Marcos Freire, Nossa Senhora do Socorro - SE"
