ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,fonte,confianca
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 5 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.895413,-37.1526527,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 6 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8944248,-37.153703,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 7 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8942034,-37.154249,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 9 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8950008,-37.1519974,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Rosa de Maio, Guajará, Nossa Senhora do Socorro - SE",-10.8902498,-37.1515834,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 9, Guajará, Nossa Senhora do Socorro - SE",-10.9015528,-37.154214,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 11, Guajará, Nossa Senhora do Socorro - SE",-10.8989357,-37.1556219,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 10, Guajará, Nossa Senhora do Socorro - SE",-10.9017073,-37.1565183,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 8, Guajará, Nossa Senhora do Socorro - SE",-10.9007182,-37.1540732,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua 4, Guajará, Nossa Senhora do Socorro - SE",-10.897372,-37.154813,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Avenida Principal, Guajará, Nossa Senhora do Socorro - SE",-10.8860144,-37.1459552,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Padre Cícero, Guajará, Nossa Senhora do Socorro - SE",-10.8983621,-37.1568275,nominatim,alta
